student_name,student_id,cgpa,internals,attendance,Fees_Amount_Due,financial_default,financial_default_encoded,financial_risk,attendance_risk,internals_risk,cgpa_risk,final_risk_score,risk_category,counselling_suggestions,financial_aid_suggestion,mentor_name
Ravi Sharma,STU001,6.0,5.0,63.0,31868.0,very_small,1.0,1,7,8,6,4.35,Medium Risk,Address attendance issues; Improve study habits to boost CGPA; Seek counseling to address internal factors.,No immediate action needed.,Tanya Bhatia
Rekha Banerjee,STU002,6.2,3.0,35.0,82501.0,large,4.0,8,9,8,4,7.9,High Risk,Develop a financial plan; Improve study skills for higher CGPA; Address attendance and internal issues through counseling.,Urgent: Connect with financial aid office for grants/emergency funds.,Manish Joshi
Tanvi Menon,STU003,6.7,0.0,82.0,0.0,none,0.0,0,0,0,4,0.4,Low Risk,Maintain excellent academic performance; Continue positive attendance;  Explore extracurricular activities.,No immediate action needed.,Meera Desai
Alok Rao,STU004,4.7,2.0,66.0,96226.0,large,4.0,8,4,6,8,6.499999999999999,Medium Risk,Create a robust financial plan; Improve study habits to raise CGPA; Address internal factors through counseling.,Urgent: Connect with financial aid office for grants/emergency funds.,Sanya Khanna
Payal Saxena,STU005,4.4,2.0,82.0,13150.0,very_small,1.0,1,0,6,8,2.15,Low Risk,Focus on improving CGPA; Seek counseling to address internal issues; Maintain perfect attendance.,No immediate action needed.,Dev Patel
Aarav Mehta,STU006,8.9,3.0,38.0,128801.0,very_large,5.0,10,9,8,0,8.399999999999999,High Risk,Develop a financial plan and seek financial aid;  Maintain excellent academic performance; Address internal and attendance challenges through therapy.,Urgent: Connect with financial aid office for grants/emergency funds.,Dev Patel
Deepak Choudhary,STU007,7.5,5.0,89.0,71383.0,medium,3.0,6,0,8,2,4.1000000000000005,Medium Risk,Develop a financial plan; Improve study habits; Address internal factors through counseling.,Action: Discuss fee installment plans or work-study options.,Rohan Mehta
Jyoti Saxena,STU008,5.7,2.0,90.0,0.0,none,0.0,0,0,6,6,1.5,Low Risk,Focus on improving CGPA; Seek counseling to address internal factors;  Explore extracurricular activities.,No immediate action needed.,Isha Patel
Ravi Menon,STU009,6.3,5.0,87.0,0.0,none,0.0,0,0,8,4,1.6,Low Risk,Improve study habits to boost CGPA; Seek counseling to address internal issues; Explore extracurriculars to boost overall well-being.,No immediate action needed.,Rohan Mehta
Rekha Iyer,STU010,3.2,0.0,94.0,20039.0,very_small,1.0,1,0,0,8,1.25,Low Risk,Focus on improving CGPA; Maintain excellent attendance and internal well-being; Explore leadership opportunities.,No immediate action needed.,Priya Nair
Siddharth Nair,STU011,8.4,5.0,85.0,133575.0,very_large,5.0,10,0,8,0,5.7,Medium Risk,Develop a comprehensive financial plan and seek financial aid; Maintain excellent academic performance; Address internal challenges through therapy.,Urgent: Connect with financial aid office for grants/emergency funds.,Kunal Verma
Harsh Banerjee,STU012,5.1,3.0,78.0,0.0,none,0.0,0,0,8,6,1.8,Low Risk,Focus on improving CGPA; Seek counseling to address internal factors; Explore extracurricular activities.,No immediate action needed.,Arjun Malhotra
Rohan Agarwal,STU013,4.5,4.0,77.0,0.0,none,0.0,0,0,8,8,2.0,Low Risk,Focus on maintaining high CGPA; Seek counseling to address internal issues;  Consider mentoring underclassmen.,No immediate action needed.,Nikita Iyer
Ananya Khanna,STU014,8.6,1.0,45.0,128149.0,very_large,5.0,10,9,2,0,7.499999999999999,High Risk,Develop a financial plan and seek financial aid; Improve academic performance; Address attendance concerns.,Urgent: Connect with financial aid office for grants/emergency funds.,Aarav Sharma
